Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Armano, M; de Deus Silva, M; Wanner, G; Zweifel, P; Hoyland, D; Gibert, F; McNamara, PW; Gesa, L; Maarschalkerweerd, R; Diepholz, I; ",arXiv: Charging of free-falling test masses in orbit due to cosmic rays: results from LISA Pathfinder,,,,,2022,
"Pozzoli, Federico; Babak, Stanislav; Sesana, Alberto; Bonetti, Matteo; Karnesis, Nikolaos; ",Computation of stochastic background from extreme-mass-ratio inspiral populations for LISA,Physical Review D,108,10,103039,2023,American Physical Society
"Baghi, Quentin; Karnesis, Nikolaos; Bayle, Jean-Baptiste; Besançon, Marc; Inchauspé, Henri; ",Uncovering gravitational-wave backgrounds from noises of unknown shape with LISA,Journal of Cosmology and Astroparticle Physics,2023,04,066,2023,IOP Publishing
"Karnesis, Nikolaos; Katz, Michael L; Korsakova, Natalia; Gair, Jonathan R; Stergioulas, Nikolaos; ",Eryn: a multipurpose sampler for Bayesian inference,Monthly Notices of the Royal Astronomical Society,526,4,4814-4830,2023,Oxford University Press
"Babak, Stanislav; Caprini, Chiara; Figueroa, Daniel G; Karnesis, Nikolaos; Marcoccia, Paolo; Nardini, Germano; Pieroni, Mauro; Ricciardone, Angelo; Sesana, Alberto; Torrado, Jesús; ",Stochastic gravitational wave background from stellar origin binary black holes in LISA,Journal of Cosmology and Astroparticle Physics,2023,08,034,2023,IOP Publishing
"Babak, Stanislav; Karnesis, Nikolaos; Nardini, Germano; Sesana, Alberto; Pieroni, Mauro; Marcoccia, Paolo; Ricciardone, Angelo; Caprini, Chiara; Torrado, Jesús; Figueroa, Daniel G; ",arXiv: Stochastic gravitational wave background from stellar origin binary black holes in LISA,,,,,2023,
"Sasli, Argyro; Karnesis, Nikolaos; Stergioulas, Nikolaos; ",Heavier tail likelihoods for robustness against data outliers: Applications to the analysis of gravitational wave data,arXiv preprint arXiv:2305.04709,,,,2023,
"Amaro-Seoane, Pau; Audley, Heather; Babak, Stanislav; Baker, John; Barausse, Enrico; Bender, Peter; Berti, Emanuele; Binetruy, Pierre; Born, Michael; Bortoluzzi, Daniele; ","Laser interferometer space antenna,(2017)",arXiv preprint arXiv:1702.00786,,,164,,European Space Agency Proposal
"Baghi, Quentin; Karnesis, Nikolaos; Bayle, Jean-Baptiste; Besançon, Marc; Inchauspé, Henri; ",Uncovering stochastic gravitational-wave backgrounds with LISA,arXiv preprint arXiv:2307.00649,,,,2023,
"Armano, M; Audley, H; Baird, J; Binetruy, P; Born, M; Bortoluzzi, D; Castelli, Eleonora; Cavalleri, A; Cesarini, A; Cruise, AM; ",Tilt-to-length coupling in LISA Pathfinder: A data analysis,Physical review D,108,10,102003,2023,American Physical Society
"Korol, Valeriya; Igoshev, Andrei P; Toonen, Silvia; Karnesis, Nikolaos; Moore, Christopher J; Finch, Eliot; Klein, Antoine; ",Neutron Star-White Dwarf Binaries: Probing Formation Pathways and Natal Kicks with LISA,arXiv preprint arXiv:2310.06559,,,,2023,
"Sasli, Argyro; Karnesis, Nikolaos; Stergioulas, Nikolaos; ",Heavy-tailed likelihoods for robustness against data outliers: Applications to the analysis of gravitational wave data,Physical Review D,108,10,103005,2023,American Physical Society
"Sasli, Argyro; Karnesis, Nikolaos; Stergioulas, Nikolaos; ",Exploring the potential for detecting rotational instabilities in binary neutron star merger remnants with gravitational wave detectors,Physical Review D,109,4,043045,2024,American Physical Society
"Benella, S; Fabi, M; Finetti, N; Telloni, D; Armano, M; Audley, H; Auger, G; Baird, J; Bassan, M; Binetruy, P; ",GCR flux 9-day variations with LISA Pathfinder,Journal of Physics: Conference Series,840,012037,,2017,
"Littenberg, TB; Baker, J; Armano, M; Audley, H; Auger, G; Baird, J; Bassan, M; Binetruy, P; Born, M; Bortoluzzi, D; ",LISA Pathfinder as a Micrometeoroid Instrument,Journal of Physics: Conference Series,840,012007,,2017,
"Armano, M; Audley, H; Baird, J; Bassan, M; Binetruy, P; Born, M; Bortoluzzi, D; Castelli, E; Cavalleri, A; Cesarini, A; ",NanoNewton electrostatic force actuators for femtoNewton-sensitive measurements: system performance test in the LISA Pathfinder mission,arXiv preprint arXiv:2401.00884,,,,2023,
"Armano, M; Di Fiore, L; Sala, L; Gesa, L; Wanner, G; Jennrich, O; Born, M; De Rosa, R; De Deus Silva, M; Weber, WJ; ",arXiv: NanoNewton electrostatic force actuators for femtoNewton-sensitive measurements: system performance test in the LISA Pathfinder mission,,,,,2023,
"Armano, Michele; Audley, H; Baird, J; Binetruy, P; Born, M; Bortoluzzi, D; Brandt, N; Castelli, E; Cavalleri, A; Cesarini, A; ",Sensor noise in L I S A P a t h f i n d e r: Laser frequency noise and its coupling to the optical test mass readout,Physical Review D,109,4,042003,2024,American Physical Society
"Colpi, Monica; Halain, Jean-Philippe; Jetzer, Philippe; Vallisneri, Michele; Martens, Waldemar; Baibhav, Vishal; Savalle, Etienne; Capelo, Pedro R; Sartirana, Andrea; Harry, Ian; ",arXiv: LISA Definition Study Report,,,,,2024,
"Korsakova, Natalia; Babak, Stanislav; Katz, Michael L; Karnesis, Nikolaos; Khukhlaev, Sviatoslav; Gair, Jonathan R; ",Neural density estimation for Galactic Binaries in LISA data analysis,arXiv preprint arXiv:2402.13701,,,,2024,
"Colpi, Monica; Danzmann, Karsten; Hewitson, Martin; Holley-Bockelmann, Kelly; Jetzer, Philippe; Nelemans, Gijs; Petiteau, Antoine; Shoemaker, David; Sopuerta, Carlos; Stebbins, Robin; ",LISA Definition Study Report,arXiv preprint arXiv:2402.07571,,,,2024,
"Audley, Heather; Born, Michael; Danzmann, Karsten; Hartig, Marie-Sophie; Heinzel, Gerhard; Hewitson, Martin; Karnesis, Nikolaos; Kaune, Brigitte; Paczkowski, Sarah; Reiche, Jens; ",LISA Pathfinder Mission Extension Report for the German Contribution,,,,,2020,"Max-Planck-Institut für Gravitationsphysik, Albert-Einstein-Institut …"
"Katz, Michael; Karnesis, Nikolaos; Korsakova, Natalia; Gair, Jonathan; Stergioulas, Nikolaos; ",An efficient GPU-accelerated multi-source global fit pipeline for LISA data,American Astronomical Society Meeting Abstracts,56,2,446.03,2024,
